###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## SIMILARITY NETWORK ##
## FROM SIMILARITY 6.78 TO 4 ## 	
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
# 
# Link Code Meaning:
# Link=0 No hierarchical relation found for SCOP neither CATH
# Link=1 There is a superfamily relation for SCOP
# Link=2 There is a superfamily relation for CATH
# Link=3 There is a superfamily relation for both SCOP and CATH
# Link=4 There is a fold relation for any of both expert classifications.
#
#	
#Similarity IdClusterA IdClusterB LinkCode.
5.44495 Clus>24 Clus>668 0
5.10480 Clus>24 Clus>682 0
5.22253 Clus>24 Clus>767 0
4.16457 Clus>28 Clus>56 0
4.68629 Clus>28 Clus>59 0
4.52203 Clus>28 Clus>130 0
4.11147 Clus>28 Clus>135 0
4.67167 Clus>28 Clus>162 0
4.43688 Clus>28 Clus>266 0
4.19252 Clus>28 Clus>347 0
4.00779 Clus>28 Clus>359 0
4.61728 Clus>28 Clus>388 0
4.31169 Clus>28 Clus>412 0
4.09169 Clus>28 Clus>440 0
5.19300 Clus>28 Clus>608 0
4.40175 Clus>28 Clus>617 0
4.21300 Clus>28 Clus>618 0
4.13240 Clus>28 Clus>633 0
4.38085 Clus>28 Clus>655 0
4.14595 Clus>28 Clus>669 0
4.94840 Clus>31 Clus>136 0
4.49791 Clus>31 Clus>184 0
4.96067 Clus>31 Clus>560 0
4.02183 Clus>34 Clus>237 4
4.89576 Clus>34 Clus>259 2
4.87958 Clus>34 Clus>377 3
4.64083 Clus>34 Clus>657 0
4.09636 Clus>34 Clus>672 0
4.42539 Clus>34 Clus>680 0
4.08075 Clus>35 Clus>62 4
6.33330 Clus>35 Clus>77 4
5.55556 Clus>35 Clus>79 4
5.22373 Clus>35 Clus>166 4
4.16660 Clus>35 Clus>175 4
6.14079 Clus>35 Clus>179 4
5.00227 Clus>35 Clus>245 4
4.38829 Clus>35 Clus>333 4
6.03736 Clus>35 Clus>342 4
4.04936 Clus>35 Clus>362 4
4.66117 Clus>35 Clus>370 4
6.41105 Clus>35 Clus>676 4
4.63570 Clus>35 Clus>684 0
4.11615 Clus>36 Clus>647 0
4.42168 Clus>39 Clus>54 4
5.58475 Clus>39 Clus>62 4
4.06526 Clus>39 Clus>63 0
6.19581 Clus>39 Clus>70 4
6.33531 Clus>39 Clus>77 4
5.05461 Clus>39 Clus>82 4
4.41331 Clus>39 Clus>97 4
5.00026 Clus>39 Clus>115 0
4.88221 Clus>39 Clus>133 4
5.64728 Clus>39 Clus>166 4
6.01684 Clus>39 Clus>179 4
5.11946 Clus>39 Clus>182 4
5.27560 Clus>39 Clus>195 0
4.21043 Clus>39 Clus>259 4
6.02263 Clus>39 Clus>333 4
5.13247 Clus>39 Clus>342 4
6.05630 Clus>39 Clus>370 4
4.48845 Clus>39 Clus>378 4
4.01876 Clus>39 Clus>663 4
4.20426 Clus>39 Clus>670 0
4.67964 Clus>39 Clus>677 4
4.52820 Clus>40 Clus>195 0
4.93980 Clus>40 Clus>333 2
4.32440 Clus>40 Clus>378 4
4.68957 Clus>40 Clus>661 3
4.70477 Clus>42 Clus>109 3
5.49196 Clus>42 Clus>133 3
4.59029 Clus>42 Clus>191 3
4.29747 Clus>42 Clus>663 3
4.49905 Clus>44 Clus>608 0
4.19560 Clus>44 Clus>627 0
4.19750 Clus>44 Clus>746 0
5.91130 Clus>44 Clus>775 0
5.95858 Clus>45 Clus>78 4
4.56637 Clus>45 Clus>176 4
4.98240 Clus>45 Clus>452 4
4.18830 Clus>46 Clus>276 0
4.00933 Clus>46 Clus>697 0
5.93914 Clus>47 Clus>683 0
4.39385 Clus>49 Clus>662 0
4.75026 Clus>50 Clus>214 4
5.30652 Clus>50 Clus>232 4
4.19412 Clus>50 Clus>290 0
5.01429 Clus>50 Clus>297 4
4.92803 Clus>50 Clus>325 4
4.77582 Clus>50 Clus>410 4
4.86510 Clus>50 Clus>422 0
4.41406 Clus>50 Clus>697 0
4.42328 Clus>50 Clus>710 0
4.75602 Clus>50 Clus>720 0
6.29605 Clus>51 Clus>92 4
4.43757 Clus>51 Clus>617 0
4.05863 Clus>52 Clus>54 4
4.41708 Clus>52 Clus>151 0
4.05232 Clus>52 Clus>237 4
4.12232 Clus>52 Clus>381 0
4.59423 Clus>52 Clus>433 4
5.86157 Clus>52 Clus>764 0
5.30130 Clus>54 Clus>77 4
5.36321 Clus>54 Clus>137 0
4.26380 Clus>54 Clus>166 4
4.03215 Clus>54 Clus>179 4
6.15470 Clus>54 Clus>237 4
4.65751 Clus>54 Clus>259 4
5.27121 Clus>54 Clus>342 4
4.10598 Clus>54 Clus>370 4
5.82814 Clus>54 Clus>378 4
5.62451 Clus>54 Clus>429 4
5.03243 Clus>54 Clus>433 4
4.49406 Clus>54 Clus>437 4
4.50998 Clus>54 Clus>659 4
4.40186 Clus>54 Clus>662 4
5.35470 Clus>54 Clus>663 4
4.62494 Clus>54 Clus>677 4
4.73694 Clus>54 Clus>679 0
5.80573 Clus>55 Clus>632 1
4.55790 Clus>56 Clus>75 4
5.25904 Clus>56 Clus>102 1
4.11938 Clus>56 Clus>187 4
4.20557 Clus>56 Clus>366 4
4.16075 Clus>58 Clus>240 0
4.56663 Clus>58 Clus>721 0
4.84313 Clus>58 Clus>775 0
4.79003 Clus>59 Clus>64 3
4.23648 Clus>59 Clus>177 0
4.60678 Clus>61 Clus>92 4
4.62969 Clus>61 Clus>106 4
4.19099 Clus>61 Clus>366 4
5.38310 Clus>62 Clus>70 4
5.84490 Clus>62 Clus>77 4
6.65304 Clus>62 Clus>79 1
4.52643 Clus>62 Clus>179 4
4.12168 Clus>62 Clus>182 4
5.16615 Clus>62 Clus>333 4
6.24626 Clus>62 Clus>362 4
4.05145 Clus>62 Clus>682 4
4.88160 Clus>62 Clus>688 0
4.65639 Clus>63 Clus>70 0
4.87192 Clus>63 Clus>115 0
4.21275 Clus>63 Clus>133 0
4.91125 Clus>63 Clus>179 0
4.37551 Clus>63 Clus>191 0
4.27235 Clus>63 Clus>378 0
4.12939 Clus>63 Clus>429 0
4.69112 Clus>63 Clus>664 0
4.45484 Clus>63 Clus>684 0
5.25821 Clus>64 Clus>136 0
4.23295 Clus>64 Clus>347 0
5.46462 Clus>64 Clus>383 0
4.65610 Clus>64 Clus>560 0
4.26816 Clus>64 Clus>615 0
4.00808 Clus>64 Clus>691 0
4.52892 Clus>64 Clus>693 0
4.65420 Clus>65 Clus>464 3
6.46005 Clus>67 Clus>84 1
4.48363 Clus>67 Clus>232 0
4.52382 Clus>67 Clus>269 0
4.42441 Clus>67 Clus>697 0
4.87646 Clus>69 Clus>70 4
4.65526 Clus>69 Clus>97 4
4.59228 Clus>69 Clus>124 0
4.23875 Clus>69 Clus>151 0
4.86649 Clus>69 Clus>216 4
5.78896 Clus>69 Clus>259 2
5.47074 Clus>70 Clus>79 4
4.41483 Clus>70 Clus>82 4
5.77735 Clus>70 Clus>115 0
4.08575 Clus>70 Clus>124 0
4.97277 Clus>70 Clus>179 4
6.21406 Clus>70 Clus>333 4
4.12941 Clus>70 Clus>342 4
4.12008 Clus>70 Clus>370 4
4.00830 Clus>70 Clus>388 0
4.69835 Clus>70 Clus>392 4
5.04820 Clus>70 Clus>659 4
4.24430 Clus>70 Clus>671 0
4.10595 Clus>70 Clus>680 0
4.46110 Clus>70 Clus>746 0
4.99272 Clus>71 Clus>100 0
4.88475 Clus>71 Clus>136 0
4.10440 Clus>71 Clus>264 0
4.08570 Clus>71 Clus>287 0
4.18073 Clus>71 Clus>314 0
4.85163 Clus>71 Clus>412 0
4.03035 Clus>71 Clus>623 0
5.11625 Clus>71 Clus>627 0
4.57935 Clus>71 Clus>698 0
4.01385 Clus>71 Clus>709 0
4.60390 Clus>71 Clus>721 0
4.01300 Clus>71 Clus>739 0
4.69575 Clus>71 Clus>771 0
4.42274 Clus>72 Clus>139 0
4.38870 Clus>72 Clus>700 0
6.02915 Clus>73 Clus>81 4
4.60184 Clus>74 Clus>107 3
5.53623 Clus>75 Clus>106 4
5.61097 Clus>75 Clus>116 3
5.35768 Clus>75 Clus>187 3
4.55035 Clus>75 Clus>280 0
4.03771 Clus>75 Clus>303 0
5.80316 Clus>75 Clus>320 4
5.74446 Clus>75 Clus>366 1
4.16477 Clus>76 Clus>218 0
4.05360 Clus>76 Clus>644 0
5.45910 Clus>77 Clus>79 4
5.48281 Clus>77 Clus>82 4
4.27941 Clus>77 Clus>97 4
6.51902 Clus>77 Clus>133 4
5.55955 Clus>77 Clus>166 4
6.72372 Clus>77 Clus>179 4
4.46877 Clus>77 Clus>333 4
5.91609 Clus>77 Clus>342 4
6.26715 Clus>77 Clus>370 4
4.57173 Clus>77 Clus>429 4
4.24840 Clus>77 Clus>659 4
4.89257 Clus>77 Clus>677 4
4.35740 Clus>78 Clus>144 4
4.21688 Clus>79 Clus>127 4
4.04436 Clus>79 Clus>166 4
6.21743 Clus>79 Clus>179 4
5.36533 Clus>79 Clus>333 2
4.91788 Clus>79 Clus>342 4
5.32188 Clus>79 Clus>362 2
4.11067 Clus>79 Clus>370 4
4.12391 Clus>79 Clus>398 4
4.17584 Clus>79 Clus>659 4
4.19186 Clus>79 Clus>672 0
4.62172 Clus>79 Clus>688 0
5.10082 Clus>80 Clus>180 0
4.22272 Clus>80 Clus>325 4
4.20827 Clus>80 Clus>438 4
4.34025 Clus>80 Clus>680 0
4.51180 Clus>81 Clus>171 4
4.80085 Clus>81 Clus>370 0
4.09753 Clus>82 Clus>133 4
5.82966 Clus>82 Clus>179 4
4.29898 Clus>84 Clus>161 0
4.21282 Clus>84 Clus>163 0
4.55642 Clus>84 Clus>184 0
4.53544 Clus>84 Clus>214 0
4.45738 Clus>84 Clus>232 0
4.15858 Clus>84 Clus>255 0
4.87085 Clus>84 Clus>269 0
4.17548 Clus>84 Clus>287 0
4.19297 Clus>84 Clus>316 0
4.42557 Clus>84 Clus>335 0
5.60965 Clus>84 Clus>347 0
4.61258 Clus>84 Clus>394 0
4.77800 Clus>84 Clus>399 4
4.46024 Clus>84 Clus>400 4
5.13177 Clus>84 Clus>421 0
4.61702 Clus>84 Clus>438 0
6.11770 Clus>84 Clus>607 0
4.69440 Clus>84 Clus>635 0
4.15745 Clus>84 Clus>655 0
4.45610 Clus>84 Clus>756 0
4.10855 Clus>84 Clus>758 0
4.53421 Clus>86 Clus>661 0
4.95060 Clus>87 Clus>635 4
4.25690 Clus>87 Clus>640 0
4.81432 Clus>88 Clus>670 0
4.27831 Clus>89 Clus>222 0
4.18131 Clus>89 Clus>287 0
4.21170 Clus>89 Clus>610 0
4.60979 Clus>89 Clus>644 0
4.74170 Clus>89 Clus>647 0
4.06778 Clus>89 Clus>655 0
4.09638 Clus>89 Clus>669 0
4.21392 Clus>89 Clus>751 0
5.21773 Clus>90 Clus>377 0
6.55177 Clus>90 Clus>433 0
4.73055 Clus>90 Clus>664 0
4.20300 Clus>90 Clus>764 0
4.10834 Clus>91 Clus>223 0
4.33283 Clus>91 Clus>263 4
4.07382 Clus>91 Clus>271 4
5.53884 Clus>91 Clus>417 4
6.42154 Clus>91 Clus>653 0
5.56454 Clus>92 Clus>106 4
4.27861 Clus>92 Clus>189 0
4.23599 Clus>92 Clus>320 4
4.47505 Clus>92 Clus>366 4
6.05606 Clus>92 Clus>617 0
5.62171 Clus>92 Clus>649 4
4.92512 Clus>95 Clus>304 3
6.24347 Clus>95 Clus>327 3
5.43000 Clus>95 Clus>538 3
4.47304 Clus>96 Clus>670 0
4.54122 Clus>97 Clus>168 4
4.22014 Clus>97 Clus>175 4
4.77553 Clus>97 Clus>182 4
4.83788 Clus>97 Clus>216 4
4.28635 Clus>97 Clus>237 4
4.18256 Clus>97 Clus>245 4
4.28380 Clus>97 Clus>333 4
4.67990 Clus>97 Clus>362 4
4.48446 Clus>97 Clus>378 4
4.93179 Clus>97 Clus>433 4
4.22057 Clus>97 Clus>670 0
4.63908 Clus>97 Clus>676 4
5.08250 Clus>97 Clus>677 4
5.94351 Clus>98 Clus>663 3
5.23346 Clus>98 Clus>665 3
6.53030 Clus>98 Clus>666 3
5.81270 Clus>98 Clus>668 1
6.18477 Clus>99 Clus>141 1
4.41720 Clus>99 Clus>453 0
4.29555 Clus>99 Clus>592 0
4.11915 Clus>100 Clus>201 0
4.10157 Clus>100 Clus>209 0
4.03708 Clus>100 Clus>211 0
4.00359 Clus>100 Clus>228 0
4.52062 Clus>100 Clus>264 0
4.06773 Clus>100 Clus>359 0
4.81616 Clus>100 Clus>395 0
4.77005 Clus>100 Clus>635 0
5.11825 Clus>100 Clus>644 0
4.45820 Clus>100 Clus>669 0
4.08850 Clus>100 Clus>741 0
4.29990 Clus>100 Clus>747 0
4.09590 Clus>100 Clus>776 0
4.75895 Clus>101 Clus>382 0
4.10260 Clus>101 Clus>697 0
4.25430 Clus>101 Clus>708 0
6.70232 Clus>102 Clus>625 3
5.37182 Clus>102 Clus>626 3
4.13153 Clus>105 Clus>143 0
4.14657 Clus>105 Clus>362 4
4.35363 Clus>105 Clus>370 3
4.11067 Clus>105 Clus>401 0
5.17442 Clus>105 Clus>429 4
5.01167 Clus>106 Clus>116 4
4.20072 Clus>106 Clus>117 0
4.16199 Clus>106 Clus>139 4
4.00802 Clus>106 Clus>187 4
4.94412 Clus>106 Clus>213 0
5.26642 Clus>106 Clus>266 0
5.06203 Clus>106 Clus>280 0
4.43538 Clus>106 Clus>309 0
5.70591 Clus>106 Clus>366 4
4.24453 Clus>106 Clus>619 0
4.28112 Clus>107 Clus>647 0
5.19922 Clus>107 Clus>733 0
4.38005 Clus>108 Clus>382 0
5.73263 Clus>109 Clus>191 3
5.03265 Clus>109 Clus>664 3
4.40815 Clus>109 Clus>665 3
4.11365 Clus>111 Clus>644 0
5.35435 Clus>111 Clus>647 0
4.14115 Clus>111 Clus>705 0
5.21575 Clus>111 Clus>713 0
4.56983 Clus>112 Clus>128 4
4.60974 Clus>112 Clus>135 4
4.66983 Clus>112 Clus>287 0
4.32004 Clus>112 Clus>746 0
4.12644 Clus>113 Clus>222 0
4.02576 Clus>113 Clus>240 0
4.06487 Clus>113 Clus>315 0
4.70990 Clus>113 Clus>359 0
4.05837 Clus>113 Clus>427 0
4.45791 Clus>113 Clus>618 0
4.25334 Clus>113 Clus>628 0
4.25410 Clus>113 Clus>644 0
5.44014 Clus>114 Clus>267 3
5.86820 Clus>114 Clus>376 3
4.67736 Clus>114 Clus>516 3
5.43507 Clus>114 Clus>518 3
4.02551 Clus>115 Clus>166 0
4.51901 Clus>115 Clus>333 0
4.25622 Clus>115 Clus>378 0
4.21964 Clus>116 Clus>280 0
4.13225 Clus>116 Clus>366 1
4.63770 Clus>117 Clus>165 0
4.45553 Clus>118 Clus>145 1
4.76847 Clus>118 Clus>203 4
4.65254 Clus>118 Clus>280 3
5.77304 Clus>118 Clus>303 1
5.70958 Clus>118 Clus>314 1
5.29773 Clus>118 Clus>338 4
4.75113 Clus>118 Clus>386 4
4.93013 Clus>118 Clus>617 0
5.61533 Clus>118 Clus>620 0
4.11434 Clus>120 Clus>253 3
4.05697 Clus>121 Clus>220 0
4.12661 Clus>121 Clus>287 0
4.22825 Clus>121 Clus>628 0
4.05023 Clus>121 Clus>644 0
4.19560 Clus>121 Clus>654 0
4.88385 Clus>121 Clus>671 0
5.07383 Clus>121 Clus>680 0
5.01617 Clus>121 Clus>746 0
4.22100 Clus>121 Clus>752 0
6.67832 Clus>124 Clus>685 3
4.73556 Clus>125 Clus>244 4
4.47280 Clus>125 Clus>510 4
4.00433 Clus>126 Clus>264 0
4.03415 Clus>126 Clus>329 0
4.09810 Clus>126 Clus>347 0
4.87193 Clus>126 Clus>386 0
5.59780 Clus>126 Clus>612 0
4.46005 Clus>126 Clus>617 0
4.66575 Clus>126 Clus>620 0
4.94795 Clus>126 Clus>636 0
4.47365 Clus>126 Clus>672 0
5.16030 Clus>126 Clus>774 0
4.02105 Clus>127 Clus>677 4
5.69131 Clus>128 Clus>135 3
4.21971 Clus>128 Clus>136 0
4.77521 Clus>128 Clus>147 0
4.00856 Clus>128 Clus>223 0
4.38057 Clus>128 Clus>266 0
4.72226 Clus>128 Clus>276 0
4.12824 Clus>128 Clus>315 0
4.10612 Clus>128 Clus>427 0
4.77556 Clus>128 Clus>618 0
4.17748 Clus>128 Clus>642 0
4.40214 Clus>128 Clus>647 0
4.05194 Clus>128 Clus>706 0
4.11304 Clus>128 Clus>775 0
4.62137 Clus>130 Clus>206 4
6.27848 Clus>130 Clus>246 4
5.68319 Clus>130 Clus>363 4
6.73442 Clus>130 Clus>373 4
4.96070 Clus>130 Clus>707 0
4.03590 Clus>130 Clus>748 0
5.39817 Clus>131 Clus>244 4
4.39917 Clus>131 Clus>249 4
4.45473 Clus>131 Clus>414 4
5.73617 Clus>131 Clus>511 4
4.10392 Clus>131 Clus>512 4
5.25210 Clus>131 Clus>513 4
5.71060 Clus>131 Clus>514 4
4.21039 Clus>132 Clus>234 0
6.16775 Clus>132 Clus>740 1
5.50019 Clus>133 Clus>166 4
5.84256 Clus>133 Clus>179 4
4.27423 Clus>133 Clus>191 3
5.02989 Clus>133 Clus>261 2
4.08112 Clus>133 Clus>333 4
4.84110 Clus>133 Clus>342 4
6.32352 Clus>133 Clus>370 4
4.65305 Clus>133 Clus>429 4
4.02593 Clus>134 Clus>402 0
4.10378 Clus>135 Clus>226 0
4.55310 Clus>135 Clus>618 0
4.02843 Clus>135 Clus>728 0
4.00922 Clus>136 Clus>162 0
4.09563 Clus>136 Clus>264 0
4.09010 Clus>136 Clus>266 0
4.44890 Clus>136 Clus>276 0
4.64843 Clus>136 Clus>285 0
5.00835 Clus>136 Clus>295 0
5.01895 Clus>136 Clus>347 0
5.15147 Clus>136 Clus>383 0
4.25359 Clus>136 Clus>440 0
4.91615 Clus>136 Clus>560 0
4.06495 Clus>136 Clus>617 0
4.30345 Clus>136 Clus>642 0
4.12935 Clus>136 Clus>644 0
4.36255 Clus>136 Clus>693 0
4.88655 Clus>136 Clus>698 0
5.74330 Clus>136 Clus>699 0
4.23190 Clus>136 Clus>706 0
4.88150 Clus>136 Clus>713 0
5.09260 Clus>136 Clus>748 0
5.06625 Clus>136 Clus>764 0
4.63925 Clus>138 Clus>627 0
4.76556 Clus>139 Clus>187 2
4.34522 Clus>139 Clus>280 0
4.17930 Clus>139 Clus>303 0
5.14340 Clus>139 Clus>320 4
5.28513 Clus>139 Clus>366 3
4.05920 Clus>140 Clus>323 4
4.73132 Clus>140 Clus>369 4
4.11363 Clus>140 Clus>589 4
4.86617 Clus>142 Clus>228 4
4.38640 Clus>142 Clus>308 4
5.81779 Clus>142 Clus>413 4
4.14455 Clus>142 Clus>741 0
4.20950 Clus>144 Clus>369 0
4.09605 Clus>144 Clus>489 0
5.32525 Clus>144 Clus>589 0
4.73299 Clus>145 Clus>174 4
4.56338 Clus>145 Clus>199 2
4.97269 Clus>145 Clus>203 4
6.73635 Clus>145 Clus>218 3
4.19644 Clus>145 Clus>251 4
4.32797 Clus>145 Clus>263 4
5.18073 Clus>145 Clus>271 3
6.55380 Clus>145 Clus>303 3
4.55336 Clus>145 Clus>314 3
4.33707 Clus>145 Clus>338 1
5.63447 Clus>145 Clus>386 1
5.27585 Clus>145 Clus>394 1
4.48363 Clus>145 Clus>405 4
5.08215 Clus>145 Clus>606 3
4.13104 Clus>145 Clus>608 1
5.02731 Clus>145 Clus>617 0
4.06708 Clus>146 Clus>344 1
5.11090 Clus>146 Clus>673 0
4.42362 Clus>147 Clus>162 0
5.22797 Clus>147 Clus>211 4
5.60792 Clus>147 Clus>223 0
4.25026 Clus>147 Clus>276 0
4.14140 Clus>147 Clus>307 0
5.05978 Clus>147 Clus>315 0
5.22951 Clus>147 Clus>347 0
5.01191 Clus>147 Clus>388 0
4.93595 Clus>147 Clus>392 0
5.18142 Clus>147 Clus>395 4
4.71411 Clus>147 Clus>412 0
4.22715 Clus>147 Clus>642 0
4.31068 Clus>147 Clus>643 0
4.64237 Clus>147 Clus>691 0
5.20858 Clus>147 Clus>713 4
5.23470 Clus>147 Clus>746 0
5.10784 Clus>147 Clus>775 0
4.28473 Clus>150 Clus>673 0
4.10460 Clus>150 Clus>766 0
4.51030 Clus>150 Clus>775 0
4.61282 Clus>151 Clus>172 0
4.81907 Clus>151 Clus>289 0
4.15497 Clus>151 Clus>378 0
4.48037 Clus>151 Clus>677 0
4.27160 Clus>152 Clus>572 0
4.17052 Clus>153 Clus>419 4
4.39595 Clus>154 Clus>629 0
4.39865 Clus>154 Clus>712 0
5.82498 Clus>156 Clus>186 3
6.31196 Clus>156 Clus>298 3
6.51701 Clus>156 Clus>310 3
4.21234 Clus>156 Clus>365 2
4.96727 Clus>156 Clus>635 3
5.20049 Clus>156 Clus>636 3
4.97497 Clus>156 Clus>637 3
4.61885 Clus>158 Clus>738 0
4.86745 Clus>161 Clus>165 0
4.54062 Clus>161 Clus>167 4
4.32802 Clus>161 Clus>186 0
4.65202 Clus>161 Clus>347 0
4.06188 Clus>161 Clus>372 0
4.73893 Clus>161 Clus>394 0
4.65641 Clus>161 Clus>399 0
4.97022 Clus>161 Clus>404 0
5.70247 Clus>161 Clus>640 4
4.74342 Clus>162 Clus>315 0
4.08905 Clus>162 Clus>395 0
4.60020 Clus>162 Clus>633 0
4.93195 Clus>162 Clus>644 0
4.28375 Clus>162 Clus>762 0
6.32315 Clus>163 Clus>214 4
5.96564 Clus>163 Clus>232 4
4.06238 Clus>163 Clus>256 0
5.56298 Clus>163 Clus>269 4
4.83604 Clus>163 Clus>325 4
5.91459 Clus>163 Clus>335 2
4.45146 Clus>163 Clus>391 4
4.07561 Clus>163 Clus>397 0
4.67610 Clus>163 Clus>400 4
6.22976 Clus>163 Clus>410 4
4.03045 Clus>163 Clus>421 0
4.33162 Clus>163 Clus>422 0
5.17382 Clus>163 Clus>758 4
5.45907 Clus>165 Clus>234 0
5.94930 Clus>165 Clus>616 0
4.22325 Clus>165 Clus>629 0
5.29265 Clus>165 Clus>640 0
4.05145 Clus>165 Clus>651 0
5.96308 Clus>166 Clus>179 4
4.96453 Clus>166 Clus>333 4
4.52533 Clus>166 Clus>342 4
5.68099 Clus>166 Clus>370 4
4.23746 Clus>166 Clus>398 4
4.36987 Clus>166 Clus>668 4
4.35853 Clus>166 Clus>677 4
4.05485 Clus>167 Clus>608 0
5.12855 Clus>167 Clus>640 3
4.51924 Clus>168 Clus>362 4
4.82920 Clus>168 Clus>429 4
4.06375 Clus>168 Clus>657 0
4.02442 Clus>169 Clus>665 0
4.73728 Clus>169 Clus>672 0
4.21162 Clus>170 Clus>254 0
4.26808 Clus>170 Clus>276 0
4.71900 Clus>170 Clus>388 0
4.59861 Clus>170 Clus>669 0
4.05995 Clus>171 Clus>195 0
4.52615 Clus>173 Clus>614 0
4.35442 Clus>173 Clus>647 0
4.10712 Clus>173 Clus>655 0
4.18825 Clus>174 Clus>203 4
4.80128 Clus>174 Clus>251 4
4.19833 Clus>174 Clus>303 4
4.20895 Clus>174 Clus>653 0
4.33278 Clus>175 Clus>377 4
4.65244 Clus>175 Clus>433 4
4.03298 Clus>175 Clus>657 0
5.07549 Clus>176 Clus>451 1
6.14202 Clus>176 Clus>458 4
4.53139 Clus>177 Clus>222 0
4.89640 Clus>177 Clus>756 0
5.20144 Clus>178 Clus>222 0
5.22770 Clus>178 Clus>276 0
4.38648 Clus>178 Clus>290 0
4.14738 Clus>178 Clus>312 0
4.17570 Clus>178 Clus>347 0
4.53292 Clus>178 Clus>380 0
4.41029 Clus>178 Clus>395 0
4.35652 Clus>178 Clus>412 0
5.40845 Clus>178 Clus>610 0
4.65415 Clus>178 Clus>614 0
4.48885 Clus>178 Clus>618 0
4.02250 Clus>178 Clus>644 0
