###############################################
## SELF-CONSISTENT PROTEIN DOMAIN ##
## CLASSIFICATION OF STRUCTURES ##
## For Step 2111 at similarity 6.78 ##
############################################### 
## REPRESENTANTS LIST ##
###############################################
# More details at: 
# Pascual-García A, Abia D, Ortiz ÁR, Bastolla U, 2009
# Cross-Over between Discrete and Continuous Protein Structure Space: Insights into Automatic Classification and Networks of Protein Structures
# PLoS Comput Biol 5(3): e1000331. doi:10.1371/journal.pcbi.1000331
###############################################
# ***** Set Features:	 #
# * Alignment: Mammoth Multiple.	 #
# * Similarity Score: Contact Overlap 6 #
# * Score Length Normalization: Gaussian #
# * Clustering: Average Linkage	 # 
# * Set: SCOP-CATH Consensus (2890 domains) #
# ***** #
############################################### 
#
#
# Representative codes for each cluster (One domain corresponding to the most representative group of domains sharing the same codes)
#
#ClustId SCOPid CATHid SCOPfold CATHfold SCOPspf CATHspf SCOPfam CATHfam #elements 
Clus>39 1l5xa_ 1mvlA00 64166 64167 64168 34050 340501950 3405019502 5
Clus>40 1o94a2 1o94A03 51904 51905 51906 35050 3505060 350506025 24
Clus>41 1j77a_ 1j77A00 48612 48613 63627 120910 12091010 120910103 3
Clus>42 1nsta_ 1nstA00 52539 52540 52575 34050 34050300 34050300131 3
Clus>43 1d1ga_ 1cz3B00 53596 53597 53598 340430 34043010 340430108 8
Clus>44 1chma2 1chmA02 55919 55920 55921 390230 39023010 390230105 2
Clus>45 1ld8a_ 2h6fA00 48370 48439 48440 12540 12540120 125401201 2
Clus>46 1gt7a_ 1ojrA00 53638 53639 53640 340225 34022510 340225101 3
Clus>47 1obr__ 1obr000 53162 53187 53198 340630 34063010 3406301011 10
Clus>48 1ak0__ 1ak0000 48536 48537 48543 110575 11057510 110575103 3
Clus>49 1poib_ 1poiA01 53315 53316 74657 3401080 340108010 3401080103 4
Clus>50 1lxna_ 1lxnA00 54861 89957 89958 33070 33070930 330709303 5
Clus>51 1odma_ 1odmA00 51181 51197 51198 260120 260120330 2601203301 3
Clus>52 1g60a_ 1g60B00 53334 53335 53377 34050 34050150 3405015010 3
Clus>53 1seta2 1sesA02 55680 55681 55682 330930 33093010 3309301012 10
Clus>54 1ijba_ 1ijbA00 53299 53300 53301 34050 34050410 340504106 5
Clus>55 1iz0a1 1iz0A01 50128 50129 50136 390180 39018010 3901801016 6
Clus>56 2nlra_ 2nlrA00 49898 49899 49978 260120 260120180 2601201802 4
Clus>57 1iega_ 1iedA00 50788 50789 50790 32016 3201610 32016101 3
Clus>58 1lm4a_ 1lm4B00 56419 56420 56421 39045 3904510 39045102 3
Clus>59 1byqa_ 1uylA00 55873 55874 55875 330565 33056510 330565101 4
Clus>60 1gxya_ 1gxyA00 56398 56399 82814 390176 39017610 390176106 4
Clus>61 1jopa_ 1jr7A00 51181 51197 89413 360130 36013010 360130102 3
Clus>62 1pjca2 1pjcA01 52171 52283 52297 34050 340501770 3405017702 2
Clus>63 2uaga3 4uagA02 53612 53623 53624 3401190 340119010 3401190102 5
Clus>64 1l0oa_ 1th8A00 55873 55874 55884 330565 33056510 3305651014 5
Clus>65 1jfaa_ 1yyqB00 48575 48576 69113 110600 11060010 110600105 4
Clus>66 1lm7a_ 1lm7A00 74651 75399 75400 3901290 390129010 3901290102 2
Clus>67 1l0lb2 2a06B02 63410 63411 63412 330830 33083010 330830104 9
Clus>68 2cmd_2 2cmd002 56326 56327 56328 390110 39011010 390110103 7
Clus>69 1o97c_ 1o97C00 52373 52402 52432 34050 34050620 3405062018 4
Clus>70 1jkxa_ 1jkxA00 53327 53328 53329 34050 34050170 340501701 2
Clus>71 1lb6a_ 1lb6A00 49598 49599 49600 260210 26021010 260210102 2
Clus>72 1uch__ 1xd3C00 54000 54001 54050 340532 34053210 340532101 2
Clus>73 1m7ja3 1m65A00 51350 51556 82264 32020 32020140 3202014016 13
Clus>74 1ofda3 1ofeB01 56234 56235 56236 36020 3602010 360201029 4
Clus>75 1k12a_ 1kxgA00 49784 49785 74896 260120 26012040 260120403 26
Clus>76 1i7oa1 1gttA01 56528 56529 56530 390850 39085010 390850101 2
Clus>77 1nni1_ 1nni100 52171 52218 89590 34050 34050360 3405036015 7
Clus>78 1hxia_ 1hxiA00 48370 48452 48453 12540 1254010 12540108 8
Clus>79 1li4a2 1li4A01 52171 52283 52300 34050 340501480 3405014801 9
Clus>80 1nwaa_ 1nwaA00 54861 55068 55069 3301060 330106010 3301060102 2
Clus>81 7reqa1 1reqA01 51350 51703 51704 32020 32020240 320202403 6
Clus>82 1fyea_ 1fy2A00 52171 52317 52331 34050 34050880 340508801 13
Clus>83 1ucaa_ 1ucdA00 55894 55895 55896 390730 39073010 390730101 6
Clus>84 1j98a_ 1j98A00 63410 63411 64294 3301360 330136080 3301360801 2
Clus>85 1pbwa_ 1pbwB00 48349 48350 48351 110555 11055510 110555102 3
Clus>86 1qgda2 1qgdA01 52517 52518 88760 34050 34050970 3405097018 12
Clus>87 1i40a_ 1i40A00 50198 50324 50325 39080 3908010 39080101 2
Clus>88 1nd6a_ 1nd6A00 53253 53254 53258 34050 340501240 3405012408 4
Clus>89 1hdmb2 1jfmA00 54451 54452 54453 330500 33050010 3305001010 12
Clus>90 1gs5a_ 1gs5A00 53632 53633 75297 3401160 340116010 3401160101 2
Clus>91 1h8la1 2bumB00 49451 49464 49465 260130 26013010 260130102 5
Clus>92 1lkna_ 1o5uA00 51181 51182 89406 260120 26012010 2601201035 16
Clus>93 1lla_2 1lla003 48055 48056 48057 1101280 110128010 1101280102 3
Clus>94 1k4ia_ 1k4iA00 55820 55821 64372 390870 39087010 390870101 3
Clus>95 2pvba_ 2pvbA00 47472 47473 47492 110238 11023810 110238103 6
Clus>96 1ohea1 1oheA01 52798 52799 52800 390190 39019010 3901901014 9
Clus>97 1yaca_ 1yacA00 52498 52499 52503 34050 34050850 340508503 4
Clus>98 1jj7a_ 1jj7A01 52539 52540 52686 34050 34050300 3405030089 15
Clus>99 1jboa_ 1jboA00 46457 46458 46532 110490 11049020 110490202 2
Clus>100 1kppa_ 1s1qA00 54494 54495 75383 310110 31011010 310110107 4
Clus>101 1qqqa_ 2g8mA00 55830 55831 55832 330572 33057210 330572101 3
Clus>102 1kit_2 1w0pA03 49898 49899 49965 260120 260120200 26012020017 22
Clus>103 1l0sa_ 1l0sA00 51160 51177 51178 216010 21601020 216010201 5
Clus>104 1gppa_ 1gppA00 51293 51294 51298 217016 21701610 217016101 4
Clus>105 1lh0a_ 1lh0B00 53270 53271 53272 34050 340502020 3405020208 10
Clus>106 1qhda2 1qhdA01 49817 49818 49819 260120 260120170 2601201703 3
Clus>107 2pvaa_ 1kuuA00 56234 56235 56248 36020 3602020 36020201 17
Clus>108 1otga_ 1otgA00 55330 55331 55336 330429 33042910 330429105 3
Clus>109 1esma_ 1sq5C00 52539 52540 52584 34050 34050300 34050300135 2
Clus>110 1khba2 1khbA01 68922 68923 68924 340449 34044910 340449103 2
Clus>111 1whi__ 1whi000 50192 50193 50194 240150 24015020 240150201 2
Clus>112 1nrja_ 1nrjA00 55769 64356 90019 330450 33045060 330450601 8
Clus>113 1evha_ 1evhA00 50728 50729 50767 23029 2302930 23029309 21
Clus>114 1ax8__ 1ax8000 47265 47266 47267 1201250 120125010 12012501015 9
Clus>115 1o17a2 1o17D02 52417 52418 52419 3401030 340103010 3401030101 2
Clus>116 1jz8a3 1jz7A01 49784 49785 49803 260120 260120260 2601202605 2
Clus>117 1tul__ 1tul000 51268 51289 51290 27040 2704020 27040201 4
Clus>118 1o9wa_ 1zk5A00 49379 49401 89215 26040 260401410 2604014101 6
Clus>119 1gs0a1 1gs0A01 47586 47587 47588 120142 12014210 120142102 2
Clus>120 1g12a_ 1g12A00 55485 55486 64335 340390 34039010 340390105 2
Clus>121 1kkoa2 1kkoA01 54825 54826 54827 330390 33039010 330390108 4
Clus>122 1o0wa1 1o0wA01 69064 69065 69066 1101520 110152010 1101520102 2
Clus>123 1qlab1 2bs2B02 46457 46548 46549 1101060 110106010 1101060102 2
Clus>124 1lzja_ 1lzjA00 53447 53448 64131 390550 39055010 390550101 11
Clus>125 1hy5a_ 1hy5B00 47161 47233 47234 120120 120120260 1201202602 2
Clus>126 1dhn__ 1dhn000 55619 55620 55628 3301130 330113010 3301130102 2
Clus>127 1ei9a_ 1ei9A00 53473 53474 53542 34050 340501820 34050182044 42
Clus>128 1mkma2 1mkmA03 55769 55781 75513 330450 33045040 330450404 5
Clus>129 1sw6a_ 1sw6A00 74651 48403 48404 12540 1254020 125402014 6
Clus>130 1eu3a2 1eu3A01 54235 54334 54335 31020 31020120 310201204 2
Clus>131 256ba_ 256bA00 47161 47175 47176 120120 12012010 120120102 6
Clus>132 1pina2 1pinA02 54533 54534 54535 31050 3105040 31050401 4
Clus>133 1dar_2 1dar001 52539 52540 52592 34050 34050300 34050300113 12
Clus>134 1k6wa1 1ra0A01 51337 51338 69373 23040 2304010 23040102 5
Clus>135 1l3la2 1l3lA01 55769 75516 75517 330450 33045080 330450801 3
Clus>136 1jsg__ 1jsg000 50903 50904 50905 24015 2401510 24015102 2
Clus>137 1oxwa_ 1oxwC00 52150 52151 89729 3401090 340109010 3401090101 2
Clus>138 1vpsa_ 1vpsB00 88632 88648 88649 260175 26017510 260175101 2
Clus>139 2bpa1_ 1m3yA02 88632 88645 49612 2709 270920 2709201 5
Clus>140 1hcia4 1hciA04 46965 46966 46967 12058 1205860 12058606 6
Clus>141 1ngka_ 1ngkB00 46457 46458 46459 110490 11049010 1104901025 21
Clus>142 3vub__ 3vub000 50036 50118 50119 23030 23030110 230301101 4
Clus>143 1qb0a_ 2a2kA00 52820 52821 52822 340250 34025010 340250107 5
Clus>144 1h6pa_ 1h6pA00 63599 63600 63601 12540 12540210 125402101 2
Clus>145 1f00i2 1f00I02 48725 49373 49374 26040 260401080 2604010801 161
Clus>146 1prta_ 1bcpA00 56398 56399 56400 390210 39021010 390210104 2
Clus>147 1mwxa1 1vqqB01 54402 54427 82595 310450 310450100 3104501001 12
Clus>148 1khya_ 1khyD00 81922 81923 81924 1101780 110178010 1101780102 2
Clus>149 1ile_2 1wnyA00 50676 50677 50678 390740 39074010 390740101 3
Clus>150 1onc__ 1yv4A00 54075 54076 54077 310130 31013010 310130106 3
Clus>151 1lam_1 1lam001 52948 52949 52950 340220 34022010 340220102 3
Clus>152 1hynp_ 1a6jA00 55803 55804 64362 340930 34093010 340930103 3
Clus>153 1oqca_ 1oqcB00 47161 69000 69001 120120 120120310 1201203102 2
Clus>154 1umua_ 1umuB00 51305 51306 51307 210109 21010910 210109104 2
Clus>155 1ns5a_ 1ns5B00 75216 75217 82371 3401280 340128010 3401280103 5
Clus>156 1et9a1 1et9A02 50198 50203 50219 24050 24050110 240501106 24
Clus>157 1jj2c_ 1vq8C00 52165 52166 52167 3401370 340137010 3401370101 2
Clus>158 1jh6a_ 1jh6A00 55143 55144 55145 3901140 390114010 3901140101 2
Clus>159 1rss__ 1rss000 47972 47973 47974 110455 11045510 110455101 2
Clus>160 1mc2a_ 1mc2A00 48618 48619 48623 12090 1209010 12090101 3
Clus>161 1n0ua1 1n0vC03 50412 50447 50448 24030 2403010 240301027 13
Clus>162 1gp0a_ 1gp0A00 50910 50911 50912 270130 27013010 270130101 2
Clus>163 1gxua_ 1gxuA00 54861 54975 54976 33070 33070100 330701002 4
Clus>164 1cipa1 1cipA02 47894 47895 47896 110400 11040010 110400101 2
Clus>165 1pkla1 1pklA03 50799 50800 50801 24033 2403310 24033102 2
Clus>166 1k7ca_ 1k7cA00 52171 52266 52276 34050 340501110 3405011101 4
Clus>167 7odca1 7odcA01 50614 50621 88683 24037 2403710 24037102 2
Clus>168 1dhs__ 1o97D02 52466 52467 52468 34050 340501220 34050122011 8
Clus>169 1bi5a2 1i88A02 53900 53901 53914 34047 3404710 34047105 6
Clus>170 1kzfa_ 1kzfA00 55728 55729 75508 340630 34063030 3406303016 11
Clus>171 2ptd__ 2ptd000 51350 51695 51699 32020 32020190 320201902 3
Clus>172 1ohta_ 1ohtA00 55845 55846 55847 34080 3408010 34080101 2
Clus>173 1lgpa_ 1lgpA00 49878 49879 49885 260200 26020020 260200202 4
Clus>174 1kzqa2 1kzqA02 49502 74877 74878 26040 260401320 2604013201 2
Clus>175 1ltqa1 1ltqA02 56783 56784 82385 34050 340501000 34050100021 4
Clus>176 1qgra_ 1qgrA00 48370 48371 48372 12510 1251010 125101012 8
Clus>177 2pola3 1ok7A03 55978 55979 55980 310150 31015010 310150103 3
Clus>178 1ew4a_ 1ew4A00 55382 55387 55388 330920 33092010 330920101 2
Clus>179 1iexa2 1x38A02 52171 52279 52280 34050 340501700 3405017001 16
Clus>180 1jj2d_ 1vq8D00 55281 55282 55283 3301440 330144010 3301440101 2
Clus>181 1fm0e_ 1fm0E00 54664 54690 54691 3901170 390117040 3901170401 5
Clus>182 1b93a_ 1b93C00 52334 52335 52339 34050 340501380 3405013801 3
Clus>183 1kid__ 1kid000 52008 52029 52030 3507 350710 3507101 2
Clus>184 1kpf__ 1kpf000 54196 54197 54198 330428 33042810 330428103 3
Clus>185 1gu2a_ 1gu2B00 46625 46626 46627 110760 11076010 110760102 2
Clus>186 1jjcb3 1b7yB02 50198 50249 50277 24050 24050140 2405014030 3
Clus>187 2bbva_ 2bbvA00 88632 88633 88638 260120 26012020 2601202024 21
Clus>188 1jj2m_ 1vq8N00 53066 53137 53138 330420 330420100 3304201001 3
Clus>189 1npsa_ 1npsA00 49694 49695 49696 26020 2602010 26020106 5
Clus>190 1gk8i_ 1gk8I00 55238 55239 55240 330190 33019010 330190101 2
Clus>191 1nija1 1nijA01 52539 52540 52652 34050 34050300 3405030040 30
Clus>192 1jyha_ 1jyhA00 55135 55136 75462 32080 3208010 32080101 3
Clus>193 1o8xa_ 1o8xA00 52832 52833 52901 34030 3403010 340301026 19
Clus>194 1n0ua3 1n0vC05 54210 54211 54212 330230 33023010 3302301015 2
Clus>195 1l1sa_ 1l1sA00 75168 75169 75170 3401260 340126010 3401260101 2
Clus>196 1o70a2 1o70A02 82152 82153 82154 230180 23018010 230180101 2
Clus>197 1ky9a1 1ky9B03 50155 50156 74933 23042 2304210 230421019 13
Clus>198 1dfma_ 1dfmB00 52979 52980 52993 34091 3409120 34091201 2
Clus>199 1qhoa2 1qhoA04 49451 49452 49453 26040 2604010 260401026 2
Clus>200 2rspa_ 2rspA00 50629 50630 50631 24070 2407010 240701011 4
Clus>201 1fu6a_ 2iugA00 55549 55550 55551 330505 33050510 3305051010 10
Clus>202 1p0ya2 1ml9A00 51268 82199 82210 2170270 217027010 2170270102 3
Clus>203 1ozua_ 1mfmA00 48725 49329 49330 26040 26040200 260402001 3
Clus>204 1mg7a1 1mg7A02 54210 54211 89824 330230 33023010 330230107 5
Clus>205 1koe__ 1koe000 56435 56436 56480 310100 31010010 3101001022 18
Clus>206 1qlab2 2bs2B01 54235 54292 54312 31020 3102030 310203011 9
Clus>207 1tyfa_ 1tyfA00 52095 52096 52097 390226 39022610 3902261014 4
Clus>208 1i5pa2 1i5pA03 51091 51096 51097 210010 21001010 210010101 5
Clus>209 1n62c1 1n62C02 55423 55447 55448 330390 33039050 330390501 2
Clus>210 1zyma2 1zymA01 52008 52009 52013 35030 3503010 35030102 2
Clus>211 1stfi_ 1stfI00 54402 54403 54407 310450 31045010 310450103 8
Clus>212 1k2ea_ 1k2eA00 55810 55811 55812 39079 3907910 39079106 5
Clus>213 1ptf__ 1ptf000 55593 55594 55595 3301340 330134010 3301340102 2
Clus>214 1scjb_ 1scjB00 54861 54897 54905 33070 3307080 33070802 14
Clus>215 1p3da2 1p3dA03 53243 53244 53245 390190 39019020 390190202 4
Clus>216 2pia_2 2pia002 52342 52343 52359 34050 3405080 340508010 8
Clus>217 2cy3__ 2cy3000 48694 48695 48696 39010 3901010 39010105 4
Clus>218 1ifra_ 1ifrA00 48725 74853 74854 26040 260401260 2604012601 6
Clus>219 1p9va2 1qy9A02 54505 54506 89863 310310 31031010 310310107 2
Clus>220 1exqa_ 1exqA00 53066 53098 53107 330420 33042010 330420103 3
Clus>221 2lisa_ 2lisA00 47081 47082 47083 120150 12015010 120150101 2
Clus>222 1mdc__ 1mdc000 50813 50814 50847 240128 24012820 2401282019 5
Clus>223 1e79h2 1h8eH00 51343 51344 51345 26015 2601510 26015101 2
Clus>224 1hu3a_ 1hu3A00 48370 48371 48385 12540 12540180 125401804 2
Clus>225 1jj2q_ 1vq8R00 54842 54843 54844 390470 39047010 390470101 2
Clus>226 1c8ua2 1c8uA01 54636 54637 54644 310129 31012910 3101291016 7
Clus>227 1qcsa2 1qcsA02 54584 54585 54586 310330 31033010 310330102 2
Clus>228 1kq1a_ 1kq1H00 50181 50182 74939 23030 23030100 230301002 9
Clus>229 1guxb_ 1guxB00 47953 47954 47969 110472 11047210 110472103 6
Clus>230 1kbia2 1ltdA01 55855 55856 55857 310120 31012010 310120105 4
Clus>231 1j7na2 1j7nB04 55485 55486 69775 340390 34039010 3403901012 2
Clus>232 1f9ya_ 1f9yA00 54861 55083 55084 33070 33070560 330705601 7
Clus>233 2eiaa2 1eia001 47942 47943 47944 110375 11037510 110375103 2
Clus>234 1kk1a2 1kjzA03 50464 50465 50466 24030 2403010 240301016 3
Clus>235 1h1oa1 1h1oA01 46625 46626 46680 110760 11076010 1107601028 4
Clus>236 1sfe_1 1sfe002 46688 46767 46768 11010 1101010 110101017 2
Clus>237 1gsa_1 1gsa001 52439 52440 52457 34050 3405020 34050205 3
Clus>238 2hts__ 3htsB00 46688 46785 46873 11010 1101010 11010106 3
Clus>239 1qh4a1 1qh4A01 48033 48034 48035 110135 11013510 110135102 2
Clus>240 1qg7a_ 2j7zA00 54116 54117 54118 24050 2405040 24050409 7
Clus>241 1qi9a_ 1qi9A00 48316 48317 48321 110606 11060610 110606101 3
Clus>242 1hbka_ 1hbkA00 47026 47027 47028 12080 1208010 12080104 4
Clus>243 1qba_4 1c7sA02 55485 55545 55546 330379 33037910 330379102 3
Clus>244 1qkra_ 1qkrB00 47161 47220 47221 120120 120120230 1201202303 4
Clus>245 1nbwb_ 1nbwB00 52953 52968 82433 34050 3405010150 34050101502 7
Clus>246 2sak__ 2sak000 54235 54328 54329 31020 31020130 310201301 3
Clus>247 3ygsp_ 3ygsP00 47985 47986 81313 110533 11053310 110533104 2
Clus>248 1mdya_ 1mdyA00 47458 47459 47460 410280 41028010 410280104 2
Clus>249 2a0b__ 2a0b000 47161 47226 47227 120120 120120160 1201201602 2
Clus>250 1mu5a2 1z5bB03 54210 54211 54224 330230 33023010 330230109 4
Clus>251 1ikop_ 1ikoP00 49502 49503 74874 26040 26040420 2604042013 29
Clus>252 1chma1 1chmA01 53066 53092 53093 340350 34035010 340350102 2
Clus>253 1kufa_ 1kufA00 55485 55486 55519 340390 34039010 340390103 5
Clus>254 1hqz1_ 1hqz800 55752 55753 55762 34020 3402010 34020108 8
Clus>255 1k8kf_ 1k8kF00 69634 69645 69646 3301460 330146020 3301460203 6
Clus>256 1lnga_ 1lngA00 69694 69695 69696 33056 3305630 33056302 2
Clus>257 1klla_ 2a4xA00 54592 54593 54598 310180 31018010 310180105 16
Clus>258 1repc1 1repC01 46688 46785 46816 11010 1101010 110101094 2
Clus>259 1g8fa2 1r6xA02 52373 52374 63979 34050 34050620 340506202 7
Clus>260 1rtu__ 1rtu000 53932 53933 81311 310450 31045030 310450304 3
Clus>261 1ko7a2 1ko7A02 53794 53795 64186 34050 34050300 34050300102 3
Clus>262 1eyha_ 1eyhA00 48370 48464 48465 12540 1254090 12540901 2
Clus>263 1d5ra1 1d5rA02 49561 49562 49563 26040 260401110 2604011101 9
Clus>264 1j0ma2 1x1iA03 49862 49863 49864 260220 26022010 260220104 3
Clus>265 1shsa_ 1shsA00 49763 49764 49765 26040 26040790 260407903 3
Clus>266 1h7za_ 1kkeA02 49834 49835 49836 26090 2609020 26090201 2
Clus>267 1n1fa_ 1n1fA00 47265 47266 47305 1201250 120125010 1201250106 2
Clus>268 1rfs__ 1rfs000 50021 50022 50023 210210 21021010 210210104 6
Clus>269 1qd1a2 1qd1A02 54861 55116 55117 33070 33070670 330706701 4
Clus>270 1nkta3 1nktA01 52539 52540 81268 34050 34050300 34050300143 7
Clus>271 1m7xa1 1who000 48725 81296 81282 26040 26040760 260407601 4
Clus>272 1t7pa1 1x9mA01 53066 53098 53118 330420 33042010 3304201017 2
Clus>273 1jmsa1 1jmsA01 47768 47802 47803 110150 110150110 1101501103 2
Clus>274 1iiza_ 1iizA00 53954 53955 53960 110530 11053010 110530103 5
Clus>275 1noga_ 1nogA00 47239 89028 89032 1201200 120120010 1201200101 2
Clus>276 1kyfa2 1p5dX04 55710 55711 55712 330310 33031050 330310502 3
Clus>277 1jfia_ 1jfiA00 47112 47113 47134 11020 1102010 110201017 11
Clus>278 2fdn__ 2fdn000 54861 54862 54863 33070 3307020 33070208 3
Clus>279 1mo9a3 1mo9A03 55423 55424 55425 330390 33039030 330390306 5
Clus>280 1p5vb_ 1p5vB00 49379 49401 49405 26040 260401310 2604013101 4
Clus>281 1gq6a_ 1gq6B00 52767 52768 52769 340800 34080010 340800103 3
Clus>282 1hssa_ 1hssA00 47698 47699 47708 110120 11012010 110120102 2
Clus>283 1k0ma1 1k0oB02 47615 47616 47617 1201050 120105010 1201050108 7
Clus>284 1k2yx3 1p5dX03 53737 53738 53739 340120 34012010 340120101 3
Clus>285 1i0ra_ 1i0rA00 50474 50475 50482 230110 23011010 230110102 4
Clus>286 1p4ea2 1floC02 56348 56349 56350 110443 11044310 110443105 5
Clus>287 1o0wa2 1o0wA02 54767 54768 54769 330160 33016020 330160202 2
Clus>288 1xgsa1 1xgsA02 46688 46785 46887 11010 1101010 11010109 2
Clus>289 1oe4a_ 1oe4A00 52140 52141 89579 340470 34047010 340470103 2
Clus>290 1rl6a2 1rl6A02 56052 56053 56054 390930 39093012 390930121 2
Clus>291 1l8qa1 1l8qA03 46688 48295 81695 1101750 110175010 1101750102 2
Clus>292 1n62a1 1n62A02 47740 47741 47742 110150 110150120 1101501201 2
Clus>293 3mag__ 1v39000 53334 53335 88785 34050 34050150 3405015044 20
Clus>294 3kvt__ 3kvt000 54694 54695 54701 330710 33071010 330710103 5
Clus>295 1iq0a3 1iq0A02 55185 55190 55191 3301360 330136070 3301360702 2
Clus>296 1gt0d_ 1gt0D00 47094 47095 47096 11030 1103010 11030102 3
Clus>297 1gmua2 1gmuA01 54861 69737 69738 33070 33070790 330707901 2
Clus>298 1khia2 1khiA02 50198 50249 50282 24050 24050140 2405014028 10
Clus>299 1jnda2 1jndA02 54533 54556 54557 31050 3105010 31050106 4
Clus>300 1jy1a1 1jy1A01 56023 56024 69815 330870 33087010 330870102 3
Clus>301 1vsra_ 1hh1A00 52979 52980 53023 3401350 340135010 3401350103 4
Clus>302 1d2zb_ 1d2zB00 47985 47986 81312 110533 11053310 110533105 2
Clus>303 1m1xa3 1nbcA00 48725 69179 69180 26040 26040710 260407102 32
Clus>304 1k8ua_ 1k8uA00 47472 47473 47478 110238 11023810 110238102 6
Clus>305 1kkha2 1kkhA02 54861 55060 75450 33070 33070890 330708904 3
Clus>306 1lw6i_ 1to2I00 54653 54654 54655 33010 3301010 33010103 2
Clus>307 1m9sa3 1m9sA04 50036 82057 82058 23030 23030170 230301702 3
Clus>308 1ng2a1 1ov3A01 50036 50044 50045 23030 2303040 230304017 10
Clus>309 1kwga1 1kwgA03 51010 51011 51012 26040 260401180 26040118021 15
Clus>310 1jb7b_ 1cuk001 50198 50249 50263 24050 24050140 2405014039 3
Clus>311 1d5ya2 1d5yA02 46688 46689 46759 11010 1101060 110106027 2
